Resource,ResourcePrimaryKey,ProblemField,ProblemValue,PartWords,PartClassifications,PartOffsets
FunBooks.HappyOzz,1.2.3,Narrative,We aren't in Kansas anymore Toto,Kansas###Toto,Location###Location,13###28
FunBooks.HappyOzz,4.5.6,Narrative,We aren't in Kansas anymore Toto,Kansas,Location,13
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,I'm looking for Sarah Connor,Sarah###Connor,Person###Person,16###22
FunBooks.HappyOzz,7.8.9,Narrative,"This string has unprecedented lengtttttttttttttttttttthhhhhhhhhhhhhhhh just see how long it is, this should definitely cause problems for most consoles fffffffffffffffffffffffffffffffffffffffffff gooooo goo bigggggggggggggg lolnggggg stringsssssssssssssssssss yarg fish yarg go go go",fish,Person,264
FunBooks.HappyOzz,7.8.9,Narrative,"This string has lots of 
newlines in it
lets add some new paragraphs 
too
just tosee what happens",what,Person,89
FunBooks.HappyOzz,1.2.3,Narrative,ARI pelvis (29/04/2020) Gynae,29/04/2020,Date,12
FunBooks.HappyOzz,1.2.3,Narrative,This has 0verlapping Fa1lures,0verlapping###0verlapping Fa1lures,Person###Date,9###9
